name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
india,2025-02-05,72.9,50,61,72.9,50,61,49.9,70.8,0,0,0,,0,0,23,11.4,275.3,1015.7,12,1.5,206.2,17.9,8,10,2025-02-05T07:06:58,2025-02-05T18:03:45,0.25,Clear,Clear conditions throughout the day.,clear-day,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999"
india,2025-02-06,73,50.6,61.3,73,50.6,61.3,44.3,59,0,0,0,,0,0,22.8,11.5,291.4,1017.4,2.4,2.2,212.1,18.4,8,10,2025-02-06T07:06:19,2025-02-06T18:04:33,0.28,Clear,Clear conditions throughout the day.,clear-day,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999,VIDD"
india,2025-02-07,73,46.4,59.1,73,43.1,58.8,40.5,54.9,0,0,0,,0,0,23,11.5,268.2,1016.8,15.5,2.3,212.1,18.4,8,10,2025-02-07T07:05:38,2025-02-07T18:05:20,0.31,Clear,Clear conditions throughout the day.,clear-day,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999"
india,2025-02-08,76.6,48.2,61.3,76.6,46.3,61.1,42,53.3,0,0,0,,0,0,20.8,10.3,269.8,1015.4,7.2,2.4,208.5,18,8,10,2025-02-08T07:04:57,2025-02-08T18:06:08,0.35,Clear,Clear conditions throughout the day.,clear-day,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999"
india,2025-02-09,78.8,49,62.5,78.8,49,62.5,45.6,60.3,0,0,0,,0,0,12.8,5.1,268.9,1014.7,19.3,2.2,209.9,18.1,8,10,2025-02-09T07:04:14,2025-02-09T18:06:54,0.38,Clear,Clear conditions throughout the day.,clear-day,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999"
india,2025-02-10,80.4,52.4,64.9,79.3,52.4,64.8,49.6,63.2,0,0,0,,0,0,13.4,5.5,272.7,1014.3,28.8,1.9,195.2,16.9,7,10,2025-02-10T07:03:30,2025-02-10T18:07:41,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999"
india,2025-02-11,83.2,52.7,66.9,81.4,52.7,66.7,50.3,60.3,0,0,0,,0,0,11.6,6.6,291.8,1013.5,6.2,2.1,210.1,18,8,10,2025-02-11T07:02:44,2025-02-11T18:08:27,0.45,Clear,Clear conditions throughout the day.,clear-day,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999"
india,2025-02-12,77.9,56,65.2,77.9,56,65.2,48.4,59.9,0,0,0,,0,0,23,16.4,274.2,1014.5,1.3,2.3,216.1,18.8,8,10,2025-02-12T07:01:58,2025-02-12T18:09:13,0.5,Clear,Clear conditions throughout the day.,clear-day,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999"
india,2025-02-13,74.9,51.8,64.1,74.9,51.8,64.1,44.5,52.1,0,0,0,,0,0,24.3,12.2,268.4,1015,3.1,2.4,221.6,19,8,10,2025-02-13T07:01:10,2025-02-13T18:09:58,0.52,Clear,Clear conditions throughout the day.,clear-day,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999"
india,2025-02-14,78.6,48.2,63.3,78.6,46.3,63.3,42.7,51.2,0,0,0,,0,0,23.5,16.1,266.3,1013.2,1.9,2.5,216.1,18.7,8,10,2025-02-14T07:00:21,2025-02-14T18:10:43,0.55,Clear,Clear conditions throughout the day.,clear-day,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999,VIDD"
