station_name,station_code,state_name,lat,lng,track_age_years
HOWRAH JN,HWH,West Bengal,22.584058,88.340979,24
HOWRAH JN. CABIN,HJN,WEST BENGAL,22.583503,88.342781,26
HOWRAH GOODS,HWHG,WEST BENGAL,22.5896053465,88.334197998,33
LILUAH (SORTING YARD),SYAE,WEST BENGAL,22.609178,88.336945,10
LILUAH WORKSHOP,LLHW,WEST BENGAL,22.618532,88.338833,23
LILUAH,LLH,Unknown,22.621181,88.339219,15
BELUR,BEQ,WEST BENGAL,22.63639201,88.33998084,12
BALLY,BLY,WEST BENGAL,22.6551655812,88.3405065536,21
BALLY CHORD,BLYC,WEST BENGAL,22.658359,88.337932,24
BELANAGAR,BZL,WEST BENGAL,22.661185,88.317804,14
DANKUNI,DKAE,West Bengal,22.677342,88.291411,19
GOBRA,GBRA,WEST BENGAL,22.695754,88.279524,15
JANAI ROAD,JOX,WEST BENGAL,22.722159,88.26489,11
BEGUMPUR,BPAE,WEST BENGAL,22.737517,88.255534,24
BARUIPARA,BRPA,WEST BENGAL,22.766487,88.237081,30
MIRZAPUR BANKIPUR,MBE,WEST BENGAL,22.7906827672,88.2223927975,30
BALARAMBATI,BLAE,WEST BENGAL,22.808367076,88.211824894,10
KAMARKUNDU,KQU,WEST BENGAL,22.821441,88.204937,15
KAMARKUNDU,KQLS,WEST BENGAL,22.820729,88.204139,10
MADHU SUDANPUR,MDSE,WEST BENGAL,22.844658,88.193049,29
CHANDANPUR,CDAE,WEST BENGAL,22.88092,88.175797,28
PORABAZAR,PBZ,WEST BENGAL,22.916777,88.15949,27
BELMURI,BMAE,WEST BENGAL,22.93254742,88.15215111,35
DHANIAKHALI,DNHL,WEST BENGAL,22.95045,88.143911,11
SIBAICHANDI,SHBC,WEST BENGAL,22.974515,88.13374,13
CHERAGRAM BH,CRAE,WEST BENGAL,22.9881060462,88.1285047531,14
HAJIGARH,HIH,WEST BENGAL,23.006752,88.121123,15
GURAP,GRAE,WEST BENGAL,23.02504,88.111982,9
JHAPANDANGA,JPQ,WEST BENGAL,23.063939,88.090997,32
JAUGRAM,JRAE,WEST BENGAL,23.078547,88.080697,25
NABAGRAM,NBAE,WEST BENGAL,23.111756429,88.0574584007,9
MASAGRAM,MSAE,WEST BENGAL,23.135111,88.042502,30
CHANCHAI,CHC,WEST BENGAL,23.158235,88.025851,18
PALLA ROAD,PRAE,WEST BENGAL,23.179343,88.009071,14
SAKTIGARH,SKG,WEST BENGAL,23.206089,87.971992,32
GANGPUR,GRP,WEST BENGAL,23.223285,87.927876,26
BARDDHAMAN JN,BWN,WEST BENGAL,23.249548,87.870111,8
TALIT,TIT,WEST BENGAL,23.29323,87.819042,14
KHANA JN,KAN,WEST BENGAL,23.320977,87.769947,31
KHANA LINK CABIN,KANL,WEST BENGAL,23.332686,87.742739,35
ISHAN CHANDI HALT,INCI,WEST BENGAL,23.3340597763,87.7400779724,25
GALSI,GLI,WEST BENGAL,23.358252,87.681456,23
PARAJ,PAJ,WEST BENGAL,23.387483,87.627125,10
MANKAR,MNAE,WEST BENGAL,23.420093,87.555542,17
PANAGARH,PAN,WEST BENGAL,23.442774,87.439327,14
RAJBANDH,RBH,WEST BENGAL,23.475686,87.371864,31
DURGAPUR,DGR,WEST BENGAL,23.495366,87.298222,35
DURGAPUR COKE OVEN PLANT EXCHANGE YARD SDG WARIA,DCOP,WEST BENGAL,23.505126,87.298222,25
WARIA,OYR,WEST BENGAL,23.538022,87.246637,18
PINJRAPOL,POL,WEST BENGAL,23.549982,87.232647,15
UDL EAST OUTER CABIN,EOC,WEST BENGAL,23.569652,87.203808,20
ANDAL INTER YARD CABIN,INTY,Unknown,,,22
ANDAL-EAST CABIN,UDLE,WEST BENGAL,23.57154,87.199516,15
ANDAL LINK CABIN,LCAB,Unknown,,,18
ANDAL JN,UDL,WEST BENGAL,23.579052,87.181234,29
ANDAL WEST CABIN,UDLW,WEST BENGAL,23.584274,87.169046,18
